2016-05-12 17:58:28,913 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 17:58:28,921 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 17:58:28,923 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 17:58:28,965 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 18:05:24,428 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:05:24,433 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 18:05:24,435 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:05:24,452 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 18:07:38,764 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:07:38,776 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 18:07:38,783 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:07:38,796 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 18:08:37,143 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:08:37,152 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 18:08:37,154 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:08:37,162 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 18:09:32,535 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:09:32,543 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 18:09:32,548 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:09:32,555 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 18:12:13,536 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:12:13,546 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 18:12:13,547 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 18:12:13,556 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
